time flux flux_rms
-136.64752348136702 0.0 0.005
-136.56443826626062 0.0 0.005
-136.48135305115423 0.0 0.005
-136.3982678360478 0.0 0.005
-136.3151826209414 0.0 0.005
-136.23209740583502 0.0 0.005
-136.1490121907286 0.0 0.005
-136.0659269756222 0.0 0.005
-135.98284176051578 0.0 0.005
-135.8997565454094 0.0 0.005
-135.816671330303 0.0 0.005
-135.73358611519657 0.0 0.005
-135.65050090009018 0.0 0.005
-135.56741568498379 0.0 0.005
-135.48433046987736 0.0 0.005
-135.40124525477097 0.0 0.005
-135.31816003966458 0.0 0.005
-135.23507482455815 0.0 0.005
-135.15198960945176 0.0 0.005
-135.06890439434534 0.0 0.005
-134.98581917923894 0.0 0.005
-134.90273396413255 0.0 0.005
-134.81964874902613 0.0 0.005
-134.73656353391974 0.0 0.005
-134.65347831881334 0.0 0.005
-134.57039310370692 0.0 0.005
-134.48730788860053 0.0 0.005
-134.40422267349413 0.0 0.005
-134.3211374583877 0.0 0.005
-134.23805224328132 0.0 0.005
-134.15496702817492 0.0 0.005
-134.0718818130685 0.0 0.005
-133.9887965979621 0.0 0.005
-133.90571138285569 0.0 0.005
-133.8226261677493 0.0 0.005
-133.7395409526429 0.0 0.005
-133.65645573753648 0.0 0.005
-133.57337052243008 0.0 0.005
-133.4902853073237 0.0 0.005
-133.40720009221727 0.0 0.005
-133.32411487711087 0.0 0.005
-133.24102966200448 0.0 0.005
-133.15794444689806 0.0 0.005
-133.07485923179166 0.0 0.005
-132.99177401668524 0.0 0.005
-132.90868880157885 0.0 0.005
-132.82560358647245 0.0 0.005
-132.74251837136603 0.0 0.005
-132.65943315625964 0.0 0.005
-132.57634794115324 0.0 0.005
-132.49326272604682 0.0 0.005
-132.41017751094043 0.0 0.005
-132.32709229583403 0.0 0.005
-132.2440070807276 0.0 0.005
-132.16092186562122 0.0 0.005
-132.07783665051483 0.0 0.005
-131.9947514354084 0.0 0.005
-131.911666220302 0.0 0.005
-131.8285810051956 0.0 0.005
-131.7454957900892 0.0 0.005
-131.6624105749828 0.0 0.005
